track_id,label,action,date,time
33,car ID: 33,IN,2025-02-17,17:10:33
72,car ID: 72,OUT,2025-02-17,17:10:33
241,car ID: 241,IN,2025-02-17,17:10:35
336,car ID: 336,OUT,2025-02-17,17:10:37
317,car ID: 317,IN,2025-02-17,17:10:37
33,car ID: 33,IN,2025-02-17,17:11:07
72,car ID: 72,OUT,2025-02-17,17:11:07
241,car ID: 241,IN,2025-02-17,17:11:09
336,car ID: 336,OUT,2025-02-17,17:11:11
317,car ID: 317,IN,2025-02-17,17:11:11
33,car ID: 33,IN,2025-02-17,17:11:21
72,car ID: 72,OUT,2025-02-17,17:11:21
241,car ID: 241,IN,2025-02-17,17:11:23
336,car ID: 336,OUT,2025-02-17,17:11:25
317,car ID: 317,IN,2025-02-17,17:11:25
33,car ID: 33,IN,2025-02-17,17:11:34
72,car ID: 72,OUT,2025-02-17,17:11:34
241,car ID: 241,IN,2025-02-17,17:11:36
336,car ID: 336,OUT,2025-02-17,17:11:38
317,car ID: 317,IN,2025-02-17,17:11:38
