"FECHA";"EST";"MUNICIPIO";"PARAJE";"TMED";"TMAX";"TMIN";"HRMED";"HRMAX";"HRMIN";"PREC";"RADMED";"VVMED";"VVMAX";"DVMED";"ETO"
01/01/18;"AL31";"Totana";"Lebor";12,87;19,17;5,909;46,44;75,9;22,91;0;124,03;2,05;6,821;249,66;2,23
02/01/18;"AL31";"Totana";"Lebor";13,05;20,99;8,2;44,91;64,69;23,74;0;122,8;1,69;8,9;272,61;2,24
03/01/18;"AL31";"Totana";"Lebor";13,57;22,57;7,06;61,66;81;37,48;0;124,63;0,85;3,077;13,25;1,34
04/01/18;"AL31";"Totana";"Lebor";14,52;23,84;8,14;63,91;88,6;33,87;0;124,25;1,12;4,753;291,87;1,67
05/01/18;"AL31";"Totana";"Lebor";10,36;17,7;4,565;77,86;99,9;44,64;0;125,46;0,99;3,665;260,43;1,13
06/01/18;"AL31";"Totana";"Lebor";8,2;13,93;4,344;80,81;93;60,35;4,378;74,32;1,9;7,99;234,6;1,16
07/01/18;"AL31";"Totana";"Lebor";6,24;11,47;2,025;70,74;89,6;39,99;0;120,67;1,45;5,733;240,64;1,18
08/01/18;"AL31";"Totana";"Lebor";4,77;11,79;0,15;76,86;94,7;42,32;0;123,23;1,4;3,655;259,09;1,13
09/01/18;"AL31";"Totana";"Lebor";6,46;13,15;1,096;76,43;93,6;44,27;0;94,62;1,67;4,381;251,65;1,29
10/01/18;"AL31";"Totana";"Lebor";10,83;18,18;5,728;70,4;99,9;36,41;0,796;124,24;1,82;8,05;264,86;1,74
11/01/18;"AL31";"Totana";"Lebor";11,7;15,27;8,92;40,66;59,3;28,99;0;119,75;4,21;11,02;282,83;3,24
12/01/18;"AL31";"Totana";"Lebor";10;16,69;5,585;48,33;78,2;25,22;0;134,45;1,94;7,18;257,83;2,05
13/01/18;"AL31";"Totana";"Lebor";6,66;12,81;1,917;73,72;99,9;49,67;0;86,88;1,44;3,871;253,87;1,11
14/01/18;"AL31";"Totana";"Lebor";9,01;13,15;5,565;68,92;99,9;45,6;2,587;79,42;1,91;7,11;246,01;1,33
15/01/18;"AL31";"Totana";"Lebor";7,52;12,17;4,747;91,44;99,9;63,95;5,97;87,57;1,33;4,047;252,6;0,91
16/01/18;"AL31";"Totana";"Lebor";9,13;18,72;3,422;78;98,8;42,13;0;133,81;1,84;4,861;246,09;1,79
17/01/18;"AL31";"Totana";"Lebor";11,91;20,86;4,702;62,14;86,6;35,09;0;139,9;1,46;4,469;280,86;1,88
18/01/18;"AL31";"Totana";"Lebor";9,63;15,6;3,409;84,69;99,9;47,54;0;122,88;1,15;4,567;35,1;1,21
19/01/18;"AL31";"Totana";"Lebor";10,18;15,17;7,08;88,01;99,9;55,91;0;74,16;0,95;3,332;247,31;1,01
20/01/18;"AL31";"Totana";"Lebor";11,68;19,53;5,255;65,4;96,1;32,75;0;131,03;1,51;7,84;249,66;1,84
21/01/18;"AL31";"Totana";"Lebor";15,83;23,63;9,48;43,36;68,71;26,12;0;141,45;1,87;8,01;256,85;2,7
22/01/18;"AL31";"Totana";"Lebor";14,57;23,93;7,86;59,67;84,3;28,25;0;143,43;1,47;4,773;241,48;2,29
23/01/18;"AL31";"Totana";"Lebor";13,03;20,64;7,12;59,6;96,3;34,79;0;145,34;1,4;3,43;278,11;1,86
24/01/18;"AL31";"Totana";"Lebor";10,42;18,43;5,34;81,98;99,9;45,06;0;140,9;1,57;4,057;252,73;1,67
25/01/18;"AL31";"Totana";"Lebor";9,02;16,66;3,282;92,68;99,9;60,06;0;125,87;1,21;3,675;243,62;1,23
